productName,quantity,price,stock,category,date
Men's Cotton T-Shirt (Blue),45,599,120,Clothing,2024-01-15
Women's Jeans (Size 32),25,1299,85,Clothing,2024-01-15
Kids Summer Dress,35,799,95,Kids Wear,2024-01-15
Formal Shirt (White),40,899,110,Formal Wear,2024-01-15
Sports Shoes (Size 9),20,2499,65,Footwear,2024-01-15
Leather Jacket,15,3999,25,Outerwear,2024-01-15
Cotton Saree (Red),30,1599,75,Traditional Wear,2024-01-15
Denim Jacket,18,1899,45,Outerwear,2024-01-15
Running Shorts,55,499,140,Sportswear,2024-01-15
Evening Gown,8,4999,15,Formal Wear,2024-01-15
Casual Sneakers,42,1299,95,Footwear,2024-01-15
Polo Shirt (Navy),38,699,105,Clothing,2024-01-15
Maxi Dress,28,1199,80,Clothing,2024-01-15
Blazer (Black),12,2799,35,Formal Wear,2024-01-15
Yoga Pants,50,899,125,Sportswear,2024-01-15
Winter Coat,10,5999,20,Outerwear,2024-01-15
Kurta Set (Cotton),32,1099,90,Traditional Wear,2024-01-15
Cargo Pants,22,1399,60,Clothing,2024-01-15
Silk Scarf,45,399,150,Accessories,2024-01-15
Designer Handbag,6,7999,12,Accessories,2024-01-15
