productName,quantity,price,stock,category,date
Rice Bag (Premium Basmati),45,1200,85,Food & Beverages,2024-01-15
Milk Packet (1 Liter),150,50,180,Food & Beverages,2024-01-15
Sugar Pack (1 KG),35,45,65,Food & Beverages,2024-01-15
Cooking Oil (1 Liter),25,160,12,Food & Beverages,2024-01-15
Wheat Flour (5 KG),30,245,8,Food & Beverages,2024-01-15
Onion Bag (2 KG),85,35,95,Food & Beverages,2024-01-15
Potato Bag (3 KG),70,40,80,Food & Beverages,2024-01-15
Tea Pack (250g),25,120,5,Food & Beverages,2024-01-15
Soap Bar (Premium),40,35,120,Health & Beauty,2024-01-15
Banana (Per Dozen),120,30,150,Food & Beverages,2024-01-15
Tomato Pack (1 KG),95,60,140,Food & Beverages,2024-01-15
Bread Loaf (White),110,25,125,Food & Beverages,2024-01-15
Egg Tray (30 pieces),65,180,15,Food & Beverages,2024-01-15
Chicken (1 KG),35,280,0,Food & Beverages,2024-01-15
Fish (1 KG),20,320,3,Food & Beverages,2024-01-15
Yogurt Cup (200ml),80,15,95,Food & Beverages,2024-01-15
Cheese Block (200g),15,85,22,Food & Beverages,2024-01-15
Biscuits Pack,55,40,85,Food & Beverages,2024-01-15
Noodles Pack,75,12,110,Food & Beverages,2024-01-15
Shampoo Bottle (200ml),25,95,7,Health & Beauty,2024-01-15
Toothpaste Tube,45,55,65,Health & Beauty,2024-01-15
Detergent Powder (1 KG),30,120,0,Household,2024-01-15
Toilet Paper (4 rolls),40,80,55,Household,2024-01-15
Garlic (500g),60,25,70,Food & Beverages,2024-01-15
Ginger (500g),50,30,60,Food & Beverages,2024-01-15
